iter	Logloss
0	0.5646322972
1	0.5212695977
2	0.5020532344
3	0.4905886066
4	0.4855218521
5	0.4805511815
6	0.4774544053
7	0.4740113432
8	0.4721294907
9	0.4705665749
10	0.4689523091
11	0.4670768935
12	0.4655621356
13	0.4641462713
14	0.4633444606
15	0.4622582979
16	0.461538781
17	0.4604160269
18	0.4596080346
19	0.458760533
20	0.4577268253
21	0.4566997152
22	0.4556773872
23	0.4550625723
24	0.4536207466
25	0.4529900911
26	0.4519384753
27	0.4515120964
28	0.450727023
29	0.4495663657
30	0.4484238099
31	0.4472135186
32	0.4462935517
33	0.4455370859
34	0.4448916531
35	0.4439658339
36	0.4428775027
37	0.4417437284
38	0.4409012266
39	0.4400189943
40	0.4392878314
41	0.4379484343
42	0.4367940588
43	0.4360112019
44	0.435251239
45	0.4346427489
46	0.4337842369
47	0.4332251268
48	0.4328027043
49	0.4318443602
