iter	Passed	Remaining
0	428	20973
1	763	18316
2	1072	16803
3	1418	16316
4	1695	15255
5	1973	14472
6	2251	13832
7	2534	13306
8	2854	13002
9	3134	12538
10	3435	12181
11	3732	11820
12	4008	11409
13	4309	11080
14	4611	10759
15	4889	10391
16	5167	10031
17	5442	9676
18	5741	9368
19	6022	9033
20	6298	8698
21	6601	8402
22	6878	8074
23	7179	7778
24	7460	7460
25	7738	7142
26	8013	6825
27	8298	6520
28	8572	6207
29	8874	5916
30	9149	5607
31	9435	5307
32	9710	5002
33	9987	4699
34	10286	4408
35	10583	4115
36	10862	3816
37	11138	3517
38	11414	3219
39	11709	2927
40	11991	2632
41	12281	2339
42	12560	2044
43	12835	1750
44	13132	1459
45	13415	1166
46	13690	873
47	13977	582
48	14259	291
49	14562	0
